form	lemma	POS	morph
འུྃཿ་		NON_WORD
ལ་	ལ་	PART
༔		PUNCT
ཐོབ་	ཐོབ་	VERB
བྱ་	བྱ་	VERB
འི་	གི་	PART
ཞེ་འདོད་	ཞེ་འདོད་	NO_POS
མཐའ་དག་	མཐའ་དག་	DET
དབྱིངས་	དབྱིངས་	NOUN
སུ་	ལ་	PART
ཡལ་	ཡལ་	NO_POS
༔		PUNCT
བྱ་རྩོལ་	བྱ་རྩོལ་	NOUN
བློ་འདས་	བློ་འདས་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
གཤིས་	གཤིས་	OTHER
༔		PUNCT
དབྱིངས་	དབྱིངས་	NOUN
རིག་	རིག་	VERB
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
བཟང་མོ་	བཟང་མོ་	ADJ
འི་	གི་	PART
མཁའ་ཀློང་	མཁའ་ཀློང་	NO_POS
སྦུབས་	སྦུབས་	NOUN
༔		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
བཙན་ས་	བཙན་ས་	VERB
ཟིན་པ་	ཟིན་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
༔		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
མི་	མི་	PART
གནས་	གནས་	NOUN
དབུ་མ་	དབུ་མ་	PROPN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
དོན་	དོན་	NOUN
༔		PUNCT
ཁྱབ་གདལ་	ཁྱབ་གདལ་	OTHER
ལྷུན་	ལྷུན་	NOUN
འབྱམས་	འབྱམས་	NO_POS
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ངང་	ངང་	NOUN
༔		PUNCT
མཐའ་གྲོལ་	མཐའ་གྲོལ་	NO_POS
ཀློང་ཡངས་	ཀློང་ཡངས་	OTHER
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
གནད་	གནད་	NOUN
༔		PUNCT
ས་ལམ་	ས་ལམ་	OTHER
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
གཞི་	གཞི་	NOUN
ར་	ལ་	PART
རྫོགས་	རྫོགས་	VERB
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
སྦུབས་	སྦུབས་	NOUN
༔		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
བཙན་ས་	བཙན་ས་	VERB
ཟིན་པ་	ཟིན་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
༔		PUNCT
ཐུགས་	ཐུགས་	NOUN
བཅུད་	བཅུད་	NOUN
ཀློང་ཆེན་	ཀློང་ཆེན་	PROPN
ཟབ་	ཟབ་	VERB
རྒྱ་	རྒྱ་	NOUN
ཡི་	གི་	PART
༔		PUNCT
		
མཐའ་	མཐའ་	NOUN
སྡུད་	སྡུད་	VERB
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
འདི་	འདི་	DET
༔		PUNCT
		
བཀའ་སྲུང་	བཀའ་སྲུང་	OTHER
དྲང་སྲོང་	དྲང་སྲོང་	NOUN
རྭ་	རྭ་	NOUN
ཧུ་	ཧུ་	NO_POS
ལ་	ལ་	PART
༔		PUNCT
		
བནྡྷེའི་		NON_WORD
ཚུལ་	ཚུལ་	NOUN
གྱིས་	གིས་	PART
བསྐུལ་	བསྐུལ་	VERB
ན་	ནས་	PART
བཀོད་	བཀོད་	VERB
༔		PUNCT
ཟབ་	ཟབ་	VERB
དོན་	དོན་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
དོན་	དོན་	NOUN
ཡིད་	ཡིད་	NOUN
ཅིང་	ཅིང་	PART
༔		PUNCT
		
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཕྱིན་	ཕྱིན་	VERB
ཕྱི་	ཕྱི་	OTHER
༔		PUNCT
		
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ས་	གིས་	PART
བྱིན་རླབས་པ་	བྱིན་རླབས་པ་	NOUN
འི་	གི་	PART
༔		PUNCT
ཀོང་	ཀོང་	NO_POS
སྨྱོན་	སྨྱོན་	NO_POS
སྦས་པ་	སྦས་པ་	VERB
འི་	གི་	PART
རིག་འཛིན་	རིག་འཛིན་	OTHER
ལ་	ལ་	PART
༔		PUNCT
		
ཟབ་	ཟབ་	VERB
རྒྱ་	རྒྱ་	NOUN
བཀྲོལ་	བཀྲོལ་	VERB
ཏེ་	སྟེ་	PART
གཏད་རྒྱ་	གཏད་རྒྱ་	NOUN
བྱ་	བྱ་	VERB
༔		PUNCT
		
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
"༔
༔"		PUNCT
