form	lemma	POS	morph
ཡུམ་ཀ་	ཡུམ་ཀ་	PROPN
མཇུག་	མཇུག་	NOUN
མཚོ་ཁ་	མཚོ་ཁ་	NO_POS
ར་	ལ་	PART
སྐྱ་ཡ་	སྐྱ་ཡ་	NO_POS
ལེ་	ལེ་	NO_POS
བསྡད་	བསྡད་	NO_POS
སོང་བ་	སོང་བ་	VERB
ས་	གིས་	PART
༔		PUNCT
ངོ་མཚར་	ངོ་མཚར་	ADJ
གྱི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
ཅུང་ཟད་	ཅུང་ཟད་	ADV
སྐྱེ་	སྐྱེ་	VERB
༔		PUNCT
དེ་	དེ་	DET
ར་	ལ་	PART
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ལྷན་སྐྱེས་	ལྷན་སྐྱེས་	ADJ
སུ་	ལ་	PART
ཤ་	ཤ་	VERB
ན་	ནས་	PART
ཐ་མལ་	ཐ་མལ་	ADJ
གྱི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
སྤངས་པ་	སྤངས་པ་	VERB
ས་	གིས་	PART
ཆུ་	ཆུ་	NOUN
ལ་	ལ་	PART
བཏུང་བ་	བཏུང་བ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
ཉེ་རེག་	ཉེ་རེག་	NO_POS
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
དེ་	དེ་	DET
ར་	ལ་	PART
བུང་བ་	བུང་བ་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
གནག་པ་	གནག་པ་	VERB
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཨུཏྤ་		NON_WORD
ལ་	ལ་	ADP
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ཞིག་	ཅིག་	PART
འཕུར་	འཕུར་	NO_POS
ལྡིང་	ལྡིང་	VERB
བྱེད་པ་	བྱེད་པ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
རྒྱུད་མངས་	རྒྱུད་མངས་	OTHER
ཀྱི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
སྦོམ་	སྦོམ་	NO_POS
ལ་	ལ་	PART
འགྱུར་པ་	འགྱུར་པ་	VERB
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
སྒྲོགས་པ་	སྒྲོགས་པ་	VERB
འི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐ་མལ་	ཐ་མལ་	ADJ
གྱི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
གཏད་མེད་	གཏད་མེད་	NO_POS
དུ་	ལ་	PART
སོང་	སོང་	VERB
༔		PUNCT
སྣང་	སྣང་	VERB
སེམས་	སེམས་	NOUN
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
གསུམ་	གསུམ་	NUM
འདྲེས་པ་	འདྲེས་པ་	VERB
འི་	གི་	PART
ཀློང་	ཀློང་	NOUN
ན་	ནས་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
མ་	མ་	PART
སྐུ་མདོག་	སྐུ་མདོག་	NOUN
དམར་	དམར་	VERB
གསལ་	གསལ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
དང་རུས་་	དང་རུས་པ་	NO_POS
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
དྲུག་	དྲུག་	NUM
༔		PUNCT
མེ་ཏོག་	མེ་ཏོག་	NOUN
གི་	གི་	PART
དོ་ཤལ་	དོ་ཤལ་	OTHER
འཕྱང་འཕྲུལ་	འཕྱང་འཕྲུལ་	NO_POS
དུ་	ལ་	PART
གཡོ་བ་	གཡོ་བ་	VERB
ཞིག་	ཅིག་	PART
གིས་	གིས་	PART
༔		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
མངོན་པ་	མངོན་པ་	OTHER
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ན་	ནས་	PART
༔		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ང་	ང་	PRON
ནི་	ནི་	NO_POS
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
ཀློང་	ཀློང་	NOUN
ན་	ནས་	PART
འོང་	འོང་	VERB
༔		PUNCT
འགྲོ་	འགྲོ་	VERB
དང་	དང་	NO_POS
འོང་བ་	འོང་བ་	VERB
འི་	གི་	PART
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
ཡོད་	ཡོད་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
བུ་མོ་	བུ་མོ་	NOUN
ང་	ང་	PRON
ནི་	ནི་	NO_POS
གནས་ཡུལ་	གནས་ཡུལ་	NO_POS
ཉེ་	ཉེ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
བདག་	བདག་	PRON
༔		PUNCT
རྔ་ཡབ་	རྔ་ཡབ་	NOUN
དཔལ་	དཔལ་	OTHER
རི་	རི་	NOUN
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
ཞིང་	ཅིང་	PART
ན་	ནས་	PART
འོང་	འོང་	VERB
༔		PUNCT
བཀོད་པ་	བཀོད་པ་	VERB
ལུས་	ལུས་	NOUN
ལ་	ལ་	PART
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
རྫོགས་	རྫོགས་	VERB
༔		PUNCT
བུ་མོ་	བུ་མོ་	NOUN
ང་	ང་	PRON
ནི་	ནི་	NO_POS
དུས་གསུམ་	དུས་གསུམ་	OTHER
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ཡུམ་	ཡུམ་	NOUN
༔		PUNCT
ང་	ང་	PRON
ལས་མ་	ལས་མ་	NO_POS
སྐྱེ་	སྐྱེ་	VERB
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
ཡང་	ཀྱང་	PART
མེད་	མེད་	VERB
༔		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ང་	ང་	PRON
སྒྲུབས་	སྒྲུབས་	VERB
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཐོབ་	ཐོབ་	VERB
༔		PUNCT
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
ལྷོ་ནུབ་	ལྷོ་ནུབ་	NO_POS
ཕྱོགས་	ཕྱོགས་	NOUN
ལ་	ལ་	PART
ཡོད་	ཡོད་	VERB
༔		PUNCT
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
མ་	མ་	PART
འཆོལ་	འཆོལ་	NO_POS
ལས་ཅན་	ལས་ཅན་	ADJ
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
དྲུག་	དྲུག་	NUM
གི་	གི་	PART
ཀློང་	ཀློང་	NOUN
དུ་	ལ་	PART
ང་	ང་	OTHER
གསོས་	གསོས་	VERB
བཏབ་	བཏབ་	VERB
༔		PUNCT
ཞེ་	ཅེས་	PART
གསུང་པ་	གསུང་པ་	VERB
འི་	གི་	PART
མོད་	མོད་	VERB
ལ་	ལ་	PART
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
རྫུ་འཕྲུལ་	རྫུ་འཕྲུལ་	NOUN
གྱི་	གི་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ཟད་	ཟད་	VERB
མི་	མི་	PART
ཤེས་པ་	ཤེས་པ་	VERB
དང་	དང་	NO_POS
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
འདྲེ་	འདྲེ་	VERB
ན་	ནས་	PART
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
ཐིམ་པ་	ཐིམ་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སོ་	གོ་	PART
༔		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
བྲག་ཕུག་པ་	བྲག་ཕུག་པ་	NOUN
མདུན་	མདུན་	NOUN
ན་	ལ་	PART
ཡོད་པ་	ཡོད་པ་	VERB
ནན་	ནན་	NOUN
གྱིས་	གིས་	PART
བཏུད་	བཏུད་	NO_POS
ན་	ནས་	PART
གཟིགས་	གཟིགས་	VERB
སྣང་	སྣང་	VERB
ཅི་	ཅི་	NO_POS
བྱུང་	བྱུང་	VERB
ཞེ་	ཅེས་	PART
དྲི་བ་	དྲི་བ་	VERB
ར་	ལ་	PART
མཛད་པ་	མཛད་པ་	VERB
ས་	གིས་	PART
བཏང་སྙོམས་	བཏང་སྙོམས་	NOUN
སུ་	ལ་	PART
འཇོག་པ་	འཇོག་པ་	VERB
འི་	གི་	PART
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ནི་	ནི་	NO_POS
སད་	སད་	VERB
༔		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
ཞག་	ཞག་	NOUN
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
བསྲུངས་	བསྲུངས་	NO_POS
ན་	ནས་	PART
དམར་ཕྱོགས་	དམར་ཕྱོགས་	NO_POS
ཀྱི་	གི་	PART
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འདུ་བ་	འདུ་བ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
ལ་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
དང་	དང་	NO_POS
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
འདུ་བ་	འདུ་བ་	VERB
རྒྱ་ཆེན་པོ་	རྒྱ་ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
བཅའ་	བཅའ་	VERB
ཡང་	ཀྱང་	PART
རྫོང་	རྫོང་	NOUN
དུས་	དུས་	NOUN
དགྲ་	དགྲ་	NOUN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
དུ་	ལ་	PART
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
འི་	གི་	PART
མཚམས་	མཚམས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
དང་	དང་	NO_POS
བཅའ་	བཅའ་	VERB
རྒྱ་	རྒྱ་	NOUN
ཁྲོལ་	ཁྲོལ་	VERB
༔		PUNCT
